concept,template_id,template,text
love,0,This is about {concept}.,This is about love.
love,1,The concept of {concept} is important.,The concept of love is important.
love,2,{concept} represents a fundamental idea.,love represents a fundamental idea.
love,3,Understanding {concept} requires careful thought.,Understanding love requires careful thought.
love,4,Many people think about {concept} differently.,Many people think about love differently.
love,5,The meaning of {concept} can vary across cultures.,The meaning of love can vary across cultures.
happiness,0,This is about {concept}.,This is about happiness.
happiness,1,The concept of {concept} is important.,The concept of happiness is important.
happiness,2,{concept} represents a fundamental idea.,happiness represents a fundamental idea.
happiness,3,Understanding {concept} requires careful thought.,Understanding happiness requires careful thought.
happiness,4,Many people think about {concept} differently.,Many people think about happiness differently.
happiness,5,The meaning of {concept} can vary across cultures.,The meaning of happiness can vary across cultures.
freedom,0,This is about {concept}.,This is about freedom.
freedom,1,The concept of {concept} is important.,The concept of freedom is important.
freedom,2,{concept} represents a fundamental idea.,freedom represents a fundamental idea.
freedom,3,Understanding {concept} requires careful thought.,Understanding freedom requires careful thought.
freedom,4,Many people think about {concept} differently.,Many people think about freedom differently.
freedom,5,The meaning of {concept} can vary across cultures.,The meaning of freedom can vary across cultures.
justice,0,This is about {concept}.,This is about justice.
justice,1,The concept of {concept} is important.,The concept of justice is important.
justice,2,{concept} represents a fundamental idea.,justice represents a fundamental idea.
justice,3,Understanding {concept} requires careful thought.,Understanding justice requires careful thought.
justice,4,Many people think about {concept} differently.,Many people think about justice differently.
justice,5,The meaning of {concept} can vary across cultures.,The meaning of justice can vary across cultures.
truth,0,This is about {concept}.,This is about truth.
truth,1,The concept of {concept} is important.,The concept of truth is important.
truth,2,{concept} represents a fundamental idea.,truth represents a fundamental idea.
truth,3,Understanding {concept} requires careful thought.,Understanding truth requires careful thought.
truth,4,Many people think about {concept} differently.,Many people think about truth differently.
truth,5,The meaning of {concept} can vary across cultures.,The meaning of truth can vary across cultures.
beauty,0,This is about {concept}.,This is about beauty.
beauty,1,The concept of {concept} is important.,The concept of beauty is important.
beauty,2,{concept} represents a fundamental idea.,beauty represents a fundamental idea.
beauty,3,Understanding {concept} requires careful thought.,Understanding beauty requires careful thought.
beauty,4,Many people think about {concept} differently.,Many people think about beauty differently.
beauty,5,The meaning of {concept} can vary across cultures.,The meaning of beauty can vary across cultures.
wisdom,0,This is about {concept}.,This is about wisdom.
wisdom,1,The concept of {concept} is important.,The concept of wisdom is important.
wisdom,2,{concept} represents a fundamental idea.,wisdom represents a fundamental idea.
wisdom,3,Understanding {concept} requires careful thought.,Understanding wisdom requires careful thought.
wisdom,4,Many people think about {concept} differently.,Many people think about wisdom differently.
wisdom,5,The meaning of {concept} can vary across cultures.,The meaning of wisdom can vary across cultures.
courage,0,This is about {concept}.,This is about courage.
courage,1,The concept of {concept} is important.,The concept of courage is important.
courage,2,{concept} represents a fundamental idea.,courage represents a fundamental idea.
courage,3,Understanding {concept} requires careful thought.,Understanding courage requires careful thought.
courage,4,Many people think about {concept} differently.,Many people think about courage differently.
courage,5,The meaning of {concept} can vary across cultures.,The meaning of courage can vary across cultures.
knowledge,0,This is about {concept}.,This is about knowledge.
knowledge,1,The concept of {concept} is important.,The concept of knowledge is important.
knowledge,2,{concept} represents a fundamental idea.,knowledge represents a fundamental idea.
knowledge,3,Understanding {concept} requires careful thought.,Understanding knowledge requires careful thought.
knowledge,4,Many people think about {concept} differently.,Many people think about knowledge differently.
knowledge,5,The meaning of {concept} can vary across cultures.,The meaning of knowledge can vary across cultures.
peace,0,This is about {concept}.,This is about peace.
peace,1,The concept of {concept} is important.,The concept of peace is important.
peace,2,{concept} represents a fundamental idea.,peace represents a fundamental idea.
peace,3,Understanding {concept} requires careful thought.,Understanding peace requires careful thought.
peace,4,Many people think about {concept} differently.,Many people think about peace differently.
peace,5,The meaning of {concept} can vary across cultures.,The meaning of peace can vary across cultures.
hope,0,This is about {concept}.,This is about hope.
hope,1,The concept of {concept} is important.,The concept of hope is important.
hope,2,{concept} represents a fundamental idea.,hope represents a fundamental idea.
hope,3,Understanding {concept} requires careful thought.,Understanding hope requires careful thought.
hope,4,Many people think about {concept} differently.,Many people think about hope differently.
hope,5,The meaning of {concept} can vary across cultures.,The meaning of hope can vary across cultures.
faith,0,This is about {concept}.,This is about faith.
